Id,Date,User,Tweet
43,2021-09-11 04:44:44+00:00,pcspaule,Dami nyo diversionary tactics ah. We don’t forget… #DuqueResign #RoqueResign #DutertePalpak
44,2021-09-11 04:22:57+00:00,GeraldR22732240,"Panawagan ko sa ating Mahal na Pangulo, your number 1 promise ititigil mo ang corruption sa gobyerno and you said hindi mo Ito magagawa mag-isa kailangan mo ng tulong,the Senate help you nagiimbestiga sila bakit mo binabanga ang imbestigasyon ng senado sa korupsyon #DutertePalpak"
45,2021-09-11 04:22:02+00:00,aaronrestua12,His is a verbal diarrhea. Literal. Ambabaho ng lumalabas sa bibig. #DutertePalpak
46,2021-09-11 04:08:52+00:00,ReplyCarlos1988,"Kundi ba naman gago at sinungaling si Rodrigo Duterte at Michael Yang, bat ka kukuha ng adviser na kailangan ng interpreter para mapagpayuhan ka?! Mga sindikato! #dutertelegacy #DutertePalpak"
47,2021-09-11 03:27:35+00:00,FactsOnly_PH,"Yung President Duterte niyo, kapag Covid-19 related response, puro kainutilan ang alam, walang masabi. Pero kapag mag-rant dahil sa sarili niyang kapalpakan, napakadami at napakaactive. #DutertePalpak #DuterteInutil"
48,2021-09-11 03:03:40+00:00,theacds,Kaning mga troll defending duterte #dutertepalpak kay mga iring lage ang profile picture. Hahaha.
49,2021-09-11 02:45:41+00:00,honeykuhhh,"hindi na makabayan ang boboto ulit kay Duterte. 
#OUSTDUTERTENOW #DutertePalpak"
50,2021-09-11 02:31:13+00:00,akosidaz,"Impeach the inutile NOW!

#OUSTDUTERTE
#DutertePalpak
#DuterteTraydor
#DuterteManyak"
51,2021-09-11 02:30:22+00:00,ArihWhy,dutz with his followers gigil retaliating prc’s gordon while defending his dedeebs boiz💩 #dds #dedeebs #DutertePalpak #duterteresign
52,2021-09-11 01:57:50+00:00,AdigueMichael,"Remember Senador Trillanes? Siya lang lumalaban kay President before pero walang sumoporta bagkus pinagkatuwaan pa ng mga Tao at nagalit pa sa kanya , ngayon lalabas na lahat ng baho ni duterte at mga kaalyado nito. Filipino , Gordon , Duterte #DuterteCorrupt"
53,2021-09-11 01:41:02+00:00,jonsaldo,"Good morning!

#DuqueResign #RoqueResign #DutertePalpak"
54,2021-09-11 01:40:29+00:00,http_itsbea,yung midnight press ni Duts nagiging political na lang. Puro na abt candidacy for 2022. Hindi na nattackle yung anomalies sa PhilHealth. Plano sa mga city mataas ang CoVid cases yet Full capacity na mga hospitals. And how would the vaccine be well disseminated. #DutertePalpak
55,2021-09-11 01:19:49+00:00,jmschumey,"The Corruption Matrix is simple: Under Inutil are Go &amp; Yang. Under Go is the PSDBM (Lao, Lo &amp; Leong). Under Yang is Pharmally (Wang, Ong &amp; Lim). Triad na Triad ang peg, puro Chinese ang involved. #DuterteCorrupt #DuterteSindikato #OustDuterteNow"
56,2021-09-10 23:05:27+00:00,jcblq,#DutertePalpak #RoqueResign #DuqueResign
