Id,Date,User,Tweet
75,2022-03-13 00:52:43+00:00,jmschumey,"Matatapos na ang term ni Inutil, wala pa ring silang pandemic response expense report &amp; cost of vaccines. #DutertePalpak #DuterteCorrupt"
76,2022-03-12 22:39:13+00:00,chari1_946,"#NeverAgain Sa mga corrupt, may problem attitude, maka-abusadong dayuhan at higit sa lahat sa mga sinungaling at magnanakaw!😕🙄😒😏 #BoyingSinungaling #MarcosNumber1Sinungaling #MarcosManggagamit #MarcosManlilinlang #DutertePalpak #DuterteTuta"
77,2022-03-12 16:03:55+00:00,markalvinpoa,"I kinda hate that the campaign is making me hope again. 
Medyo okay na ako sa pagiging edgy badtrip cynical last 2021. just being angry at the gov't and posting #DutertePalpak. Tapos lalabas itong mga rallies na ito at ipapakita na marami pa ring gusto ang ikabubuti ng Pilipinas."
78,2022-03-11 04:51:00+00:00,DCanarysings,Parang andaming last minute government post appointments ah! Puro key component &amp; high positions! Porket busy sa eleksyon tingin nyo di na namin mapapansin? #Dutertepalpak
79,2022-03-11 04:10:40+00:00,bangtanboiph,I’m pretty sure @BTS_twt wouldn’t want to be associated with the Marcoses and the Dutertes - people who have been proven to have stolen not just money but also actual lives of people. #MarcosMagnanakaw #DutertePalpak
80,2022-03-10 12:55:58+00:00,markalvinpoa,Trying to stay relevant si #DutertePalpak?
81,2022-03-09 11:12:40+00:00,jmschumey,"Now na may fuel crisis, magagamit sana natin ang kita ng Malampaya. Kaso may magaling na ibinenta ang Malampaya sa crony ni Inutil. #DuterteCorrupt #DutertePalpak"
82,2022-03-08 06:42:38+00:00,DCanarysings,Anong meron bakit parang nagbabayad utang si PDuts sa mga Marcos? 🧐 #DutertePalpak
83,2022-03-07 14:53:58+00:00,lnzdnlgnzls,"Puro kasi ""build, build, build"" at kung ano anong payabang na projects ang ginagawa kahit na alam nilang mas kailangan i-subsidize yung road based transportation. Kaya ngayon mga commuters at jeepney drivers ang magkagalit. #DutertePalpak"
84,2022-03-05 14:02:36+00:00,pinoysiwowie,"wala namang isang salita yang si duterte. neutral daw siya pero sabi ilocano raw ang piliin. kaya yung dramang may gumagamit ng droga sa mga kandidato, gimik na lang para mapag-usapan si batugan. #DutertePalpak #MostCorrupt #MostEvil"
85,2022-03-03 00:44:29+00:00,unlucky911,"They killed @KasamangChad. They'll kill anyone whose voice is loud enough. RIP, activists.
#DutertePalpak"
